region,collection_week,group,counts,location_counts,percent
North America,2020-08-24,B.1.369,5,316,0.015822784810126583
North America,2020-08-31,B,1,584,0.0017123287671232876
North America,2020-08-31,B.1,75,584,0.1284246575342466
North America,2020-08-31,B.1.1,28,584,0.04794520547945205
North America,2020-08-31,B.1.1.1,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.10,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.107,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.121,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.126,4,584,0.00684931506849315
North America,2020-08-31,B.1.1.128,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.135,4,584,0.00684931506849315
North America,2020-08-31,B.1.1.169,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.174,5,584,0.008561643835616438
North America,2020-08-31,B.1.1.205,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.207,5,584,0.008561643835616438
North America,2020-08-31,B.1.1.222,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.231,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.239,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.241,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.244,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.251,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.265,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.291,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.304,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.306,2,584,0.003424657534246575
North America,2020-08-31,B.1.1.63,1,584,0.0017123287671232876
North America,2020-08-31,B.1.1.73,12,584,0.02054794520547945
North America,2020-08-31,B.1.110,3,584,0.005136986301369863
North America,2020-08-31,B.1.119,1,584,0.0017123287671232876
North America,2020-08-31,B.1.128,2,584,0.003424657534246575
North America,2020-08-31,B.1.139,11,584,0.018835616438356163
North America,2020-08-31,B.1.160,2,584,0.003424657534246575
North America,2020-08-31,B.1.188,2,584,0.003424657534246575
North America,2020-08-31,B.1.189,3,584,0.005136986301369863
North America,2020-08-31,B.1.195,1,584,0.0017123287671232876
North America,2020-08-31,B.1.2,161,584,0.2756849315068493
North America,2020-08-31,B.1.206,9,584,0.015410958904109588
North America,2020-08-31,B.1.216,3,584,0.005136986301369863
North America,2020-08-31,B.1.228,4,584,0.00684931506849315
North America,2020-08-31,B.1.230,1,584,0.0017123287671232876
North America,2020-08-31,B.1.234,5,584,0.008561643835616438
North America,2020-08-31,B.1.240,33,584,0.05650684931506849
North America,2020-08-31,B.1.241,1,584,0.0017123287671232876
North America,2020-08-31,B.1.243,36,584,0.06164383561643835
North America,2020-08-31,B.1.279,1,584,0.0017123287671232876
North America,2020-08-31,B.1.280,16,584,0.0273972602739726
North America,2020-08-31,B.1.294,1,584,0.0017123287671232876
North America,2020-08-31,B.1.297,1,584,0.0017123287671232876
North America,2020-08-31,B.1.3,7,584,0.011986301369863013
North America,2020-08-31,B.1.305,1,584,0.0017123287671232876
North America,2020-08-31,B.1.311,1,584,0.0017123287671232876
North America,2020-08-31,B.1.317,1,584,0.0017123287671232876
North America,2020-08-31,B.1.324,1,584,0.0017123287671232876
North America,2020-08-31,B.1.332,3,584,0.005136986301369863
North America,2020-08-31,B.1.333,1,584,0.0017123287671232876
North America,2020-08-31,B.1.340,2,584,0.003424657534246575
North America,2020-08-31,B.1.346,12,584,0.02054794520547945
North America,2020-08-31,B.1.349,2,584,0.003424657534246575
North America,2020-08-31,B.1.358,1,584,0.0017123287671232876
North America,2020-08-31,B.1.36,3,584,0.005136986301369863
North America,2020-08-31,B.1.361,6,584,0.010273972602739725
North America,2020-08-31,B.1.363,1,584,0.0017123287671232876
North America,2020-08-31,B.1.365,3,584,0.005136986301369863
North America,2020-08-31,B.1.369,40,584,0.0684931506849315
North America,2020-08-31,B.1.370,24,584,0.0410958904109589
North America,2020-08-31,B.1.5,16,584,0.0273972602739726
North America,2020-09-07,B.1,47,517,0.09090909090909091
North America,2020-09-07,B.1.1,14,517,0.027079303675048357
North America,2020-09-07,B.1.1.10,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.126,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.174,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.180,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.186,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.192,2,517,0.0038684719535783366
North America,2020-09-07,B.1.1.205,7,517,0.013539651837524178
North America,2020-09-07,B.1.1.222,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.239,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.244,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.251,6,517,0.01160541586073501
North America,2020-09-07,B.1.1.291,5,517,0.009671179883945842
North America,2020-09-07,B.1.1.304,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.34,3,517,0.005802707930367505
North America,2020-09-07,B.1.1.43,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.46,1,517,0.0019342359767891683
North America,2020-09-07,B.1.1.73,3,517,0.005802707930367505
North America,2020-09-07,B.1.139,34,517,0.06576402321083172
North America,2020-09-07,B.1.189,2,517,0.0038684719535783366
North America,2020-09-07,B.1.199,3,517,0.005802707930367505
North America,2020-09-07,B.1.2,124,517,0.23984526112185686
North America,2020-09-07,B.1.216,4,517,0.007736943907156673
North America,2020-09-07,B.1.232,1,517,0.0019342359767891683
North America,2020-09-07,B.1.234,17,517,0.03288201160541586
North America,2020-09-07,B.1.240,12,517,0.02321083172147002
North America,2020-09-07,B.1.241,1,517,0.0019342359767891683
North America,2020-09-07,B.1.243,14,517,0.027079303675048357
North America,2020-09-07,B.1.280,12,517,0.02321083172147002
North America,2020-09-07,B.1.293,1,517,0.0019342359767891683
North America,2020-09-07,B.1.3,4,517,0.007736943907156673
North America,2020-09-07,B.1.324,1,517,0.0019342359767891683
North America,2020-09-07,B.1.332,1,517,0.0019342359767891683
North America,2020-09-07,B.1.334,1,517,0.0019342359767891683
North America,2020-09-07,B.1.340,1,517,0.0019342359767891683
North America,2020-09-07,B.1.346,2,517,0.0038684719535783366
North America,2020-09-07,B.1.349,7,517,0.013539651837524178
North America,2020-09-07,B.1.358,1,517,0.0019342359767891683
North America,2020-09-07,B.1.359,1,517,0.0019342359767891683
North America,2020-09-07,B.1.361,10,517,0.019342359767891684
North America,2020-09-07,B.1.369,150,517,0.2901353965183752
North America,2020-09-07,B.1.370,9,517,0.017408123791102514
North America,2020-09-07,B.1.5,6,517,0.01160541586073501
North America,2020-09-14,B.1,76,562,0.13523131672597866
North America,2020-09-14,B.1.1,12,562,0.021352313167259787
North America,2020-09-14,B.1.1.1,4,562,0.0071174377224199285
North America,2020-09-14,B.1.1.10,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.125,2,562,0.0035587188612099642
North America,2020-09-14,B.1.1.126,4,562,0.0071174377224199285
North America,2020-09-14,B.1.1.132,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.135,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.180,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.184,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.186,3,562,0.005338078291814947
North America,2020-09-14,B.1.1.192,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.205,5,562,0.008896797153024912
North America,2020-09-14,B.1.1.207,1,562,0.0017793594306049821
