region,group,slope,r,pval,counts,max_percent
Africa,A,-0.0024889067571994402,-0.638285825786159,0.014030034737808233,8,0.05555555555555555
Africa,A.14,-0.00031269543464665416,-0.4803844614152614,0.11393741215192038,1,0.008130081300813009
Africa,B,-0.0012718762718762718,-0.6022086153756298,0.022673060790529748,4,0.028846153846153848
Africa,B.1,-0.002938662821137251,-0.1898759555586898,0.30626740981741785,54,0.5
Africa,B.1.1,-0.008098834559264845,-0.33064408233605125,0.07432014940101257,20,1.0
Africa,B.1.1.1,-0.013028567069394216,-0.44929599443645085,0.02762624557964543,102,0.6666666666666666
Africa,B.1.1.10,-0.0011868213087725282,-0.5251894527480918,0.07953516921637935,2,0.027777777777777776
Africa,B.1.1.165,-0.00031269543464665416,-0.4803844614152614,0.11393741215192038,1,0.008130081300813009
Africa,B.1.1.184,-0.0006105006105006106,-0.4629100498862758,0.11117295276905698,1,0.018518518518518517
Africa,B.1.1.186,-0.0002747252747252748,-0.44721359549995776,0.10886430106296399,1,0.009615384615384616
Africa,B.1.1.189,-0.0035087719298245623,-0.39735970711951346,0.10249476692360084,1,0.2
Africa,B.1.1.198,-0.00842911877394636,-0.36236598157100197,0.05808991770469973,2,1.0
Africa,B.1.1.229,-0.00031269543464665416,-0.4803844614152614,0.11393741215192038,1,0.008130081300813009
Africa,B.1.1.274,-0.00031269543464665416,-0.4803844614152614,0.11393741215192038,1,0.008130081300813009
Africa,B.1.1.277,-0.0006105006105006106,-0.4629100498862758,0.11117295276905698,1,0.018518518518518517
Africa,B.1.1.34,-0.0002747252747252748,-0.44721359549995776,0.10886430106296399,1,0.009615384615384616
Africa,B.1.1.44,-0.0002747252747252748,-0.44721359549995776,0.10886430106296399,1,0.009615384615384616
Africa,B.1.1.46,-0.0006105006105006106,-0.4629100498862758,0.11117295276905698,1,0.018518518518518517
Africa,B.1.1.61,-0.0006253908692933083,-0.4803844614152614,0.11393741215192038,2,0.016260162601626018
Africa,B.1.1.7,-0.0426948445106623,-0.67928145142519,0.003802750207412227,96,1.0
Africa,B.1.1.71,-0.0005494505494505496,-0.44721359549995776,0.10886430106296399,2,0.019230769230769232
Africa,B.1.160,-0.013993747503821735,-0.6383373562669364,0.0013890659656278787,11,0.5
Africa,B.1.177,-0.009726041297857016,-0.38449948893854646,0.04767487069553691,10,1.0
Africa,B.1.177.14,-0.0065475433015199725,-0.4282685381160441,0.036807901028990474,7,0.5
Africa,B.1.177.19,-0.0012987012987012987,-0.369274472937998,0.0994683572687258,1,0.1
Africa,B.1.177.6,-0.0002747252747252748,-0.44721359549995776,0.10886430106296399,1,0.009615384615384616
Africa,B.1.178,-0.0021249076127124907,-0.6504352149476982,0.022010852757074567,5,0.032520325203252036
Africa,B.1.184,-0.0006105006105006106,-0.4629100498862758,0.11117295276905698,1,0.018518518518518517
