lineage,sum_counts,Africa count,Asia count,Europe count,North America count,Oceania count,South America count,Africa freq,Asia freq,Europe freq,North America freq,Oceania freq,South America freq
B.1.1.283,2,0,2,0,0,0,0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0
L.4,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.177.86,2,0,0,2,0,0,0,0.0,0.0,0.03918495297805642,0.0,0.0,0.0
B.1.1.242,2,0,0,2,0,0,0,0.0,0.0,0.03918495297805642,0.0,0.0,0.0
B.1.1.243,2,0,0,2,0,0,0,0.0,0.0,0.03918495297805642,0.0,0.0,0.0
B.1.260,2,0,2,0,0,0,0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0
B.1.1.345,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.182,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.243.1,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.233,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.195,2,0,1,1,0,0,0,0.0,0.04807692307692308,0.01959247648902821,0.0,0.0,0.0
B.1.1.266,2,0,0,2,0,0,0,0.0,0.0,0.03918495297805642,0.0,0.0,0.0
B.1.215,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.334,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.36.27,2,0,2,0,0,0,0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0
B.1.1.404,2,2,0,0,0,0,0,0.22271714922048996,0.0,0.0,0.0,0.0,0.0
B.1.428,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.438.3,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.133,2,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.015767896562598548,0.0
B.1.1.98,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.370,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.67,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.474,2,0,0,2,0,0,0,0.0,0.0,0.03918495297805642,0.0,0.0,0.0
B.1.214.2,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.57,2,1,0,0,1,0,0,0.11135857461024498,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.110.1,2,0,0,0,1,0,1,0.0,0.0,0.0,0.002086854900978735,0.0,0.273224043715847
B.1.1.142,2,0,0,1,1,0,0,0.0,0.0,0.01959247648902821,0.002086854900978735,0.0,0.0
B.1.420,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.369,2,0,0,0,1,1,0,0.0,0.0,0.0,0.002086854900978735,0.007883948281299274,0.0
B.1.1.513,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.121,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.159,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.511,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.1.118,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.1.151,2,0,0,0,2,0,0,0.0,0.0,0.0,0.00417370980195747,0.0,0.0
B.38,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.391,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.4.1,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.3.1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.342,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.367,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
A.19,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
